ever_grasped,n_grasp_events,collided,collided_before_grasp,min_xy_err,min_tilt_deg,max_depth,success,steps
False,0,False,False,0.09686114958362509,0.004207224229495075,0.0,False,400
False,0,False,False,0.09910249341556071,0.0024246206531430827,0.0,False,400
False,0,False,False,0.05686461100847351,0.0023543133007447167,0.0,False,400
False,0,False,False,0.14739294703812827,0.01004419441087142,0.0,False,400
False,0,False,False,0.1653864012318448,0.0012492167303060533,0.0,False,400
False,0,False,False,0.2644147409076705,0.0019279753453039943,0.0,False,400
False,0,False,False,0.16265628257496417,0.004745072538053237,0.0,False,400
False,0,False,False,0.1420376625441149,0.01521425396687949,0.0,False,400
False,0,False,False,0.0532183594421073,0.005655040627059371,0.0,False,400
False,0,False,False,0.2125333393343504,0.005421316772748391,0.0,False,400
False,0,False,False,0.19509679559796386,0.008770518062572634,0.0,False,400
False,0,False,False,0.3487504680110822,0.01030946332931537,0.0,False,400
False,0,False,False,0.11732215746846042,0.005260411294971165,0.0,False,400
False,0,False,False,0.07128205681615996,0.0025052125180061663,0.0,False,400
False,0,False,False,0.39565699694288015,0.004822453888939053,0.0,False,400
False,0,False,False,0.29519502063656844,0.007333592248682105,0.0,False,400
False,0,False,False,0.3937245432723105,0.0069081025846211026,0.0,False,400
False,0,False,False,0.13652055925870057,0.004772170374690377,0.0,False,400
False,0,False,False,0.2752166866769283,0.008465281009843086,0.0,False,400
False,0,False,False,0.1818823045441953,0.004617297787603637,0.0,False,400
False,0,False,False,0.20209675576759933,0.0039523595419044,0.0,False,400
False,0,False,False,0.3104245776456639,0.002414795185200353,0.0,False,400
False,0,True,True,0.06569083278769859,20.467121093527414,0.0,False,221
False,0,False,False,0.17747154852254887,0.013973751408825891,0.0,False,400
False,0,False,False,0.08827630008610302,0.00271573895805507,0.0,False,400
False,0,False,False,0.17037921679789605,0.002679406554815214,0.0,False,400
False,0,False,False,0.07776862050351599,0.005133610235040485,0.0,False,400
False,0,False,False,0.1741047656465473,0.002358124665798298,0.0,False,400
False,0,False,False,0.15331387720964632,0.007571572150940046,0.0,False,400
False,0,False,False,0.09875216271396607,0.006599860922036593,0.0,False,400
False,0,False,False,0.217062579866984,0.0020241811829767274,0.0,False,400
False,0,False,False,0.06277428817475601,0.008367472471917553,0.0,False,400
False,0,False,False,0.18561302670174606,0.00922145703822637,0.0,False,400
False,0,False,False,0.3391011396797063,0.005666305368641367,0.0,False,400
False,0,False,False,0.26997918472261995,0.004656128768106745,0.0,False,400
False,0,False,False,0.2310251362435787,0.004458217712775117,0.0,False,400
False,0,False,False,0.09542456636451635,0.008430545154141007,0.0,False,400
False,0,False,False,0.1347285884041101,0.005192898867430661,0.0,False,400
False,0,False,False,0.05752535296921975,0.005560589941312922,0.0,False,400
False,0,False,False,0.12035164319103303,0.006649946364859406,0.0,False,400
False,0,False,False,0.003261445628996602,0.004273077651491421,0.060020317914537664,True,10
False,0,False,False,0.16668074604566654,0.00524446326636617,0.0,False,400
False,0,False,False,0.09735189812564447,0.007919430803456537,0.0,False,400
False,0,False,False,0.33584041243039686,0.006866411270511383,0.0,False,400
False,0,False,False,0.2615938594279952,0.0031874204950465223,0.0,False,400
False,0,False,False,0.16319239623235562,0.009674050952616399,0.0,False,400
False,0,False,False,0.06498632234436046,0.000960003832114795,0.0,False,400
False,0,False,False,0.3718765490176021,0.0012778022608217626,0.0,False,400
False,0,False,False,0.05352898273531262,0.0017626663001911807,0.0,False,400
False,0,False,False,0.0006772067038274611,0.042634333573881286,0.06000506354831377,True,10
False,0,False,False,0.3472917911973993,0.003588762955005317,0.0,False,400
False,0,False,False,0.25665548379581804,0.0023632308018452872,0.0,False,400
False,0,False,False,0.10134956315516871,0.0016614665489658336,0.0,False,400
False,0,False,False,0.19319590257632638,0.007177163294384796,0.0,False,400
False,0,False,False,0.2336998074681241,0.006242968105434518,0.0,False,400
